ward,precinct,reg_voters,total_votes,vote_category,candidate,votes
21,9,782,21,Absentee,Cori Bush,6
21,9,782,21,Absentee,Demarco Davidson,0
21,9,782,21,Absentee,Joshua Shipp,0
21,9,782,21,Absentee,Lacy Clay,15
21,9,782,237,Polling,Cori Bush,54
21,9,782,237,Polling,Demarco Davidson,6
21,9,782,237,Polling,Joshua Shipp,2
21,9,782,237,Polling,Lacy Clay,175
21,8,703,199,Total,Cori Bush,36
21,8,703,199,Total,Demarco Davidson,7
21,8,703,199,Total,Joshua Shipp,6
21,8,703,199,Total,Lacy Clay,150
21,8,703,0,House Votes,Cori Bush,0
21,8,703,0,House Votes,Demarco Davidson,0
21,8,703,0,House Votes,Joshua Shipp,0
21,8,703,0,House Votes,Lacy Clay,0
21,8,703,0,Provisional,Cori Bush,0
21,8,703,0,Provisional,Demarco Davidson,0
21,8,703,0,Provisional,Joshua Shipp,0
21,8,703,0,Provisional,Lacy Clay,0
21,8,703,16,Absentee,Cori Bush,2
21,8,703,16,Absentee,Demarco Davidson,2
21,8,703,16,Absentee,Joshua Shipp,0
21,8,703,16,Absentee,Lacy Clay,12
21,8,703,183,Polling,Cori Bush,34
21,8,703,183,Polling,Demarco Davidson,5
21,8,703,183,Polling,Joshua Shipp,6
21,8,703,183,Polling,Lacy Clay,138
21,7,538,157,Total,Cori Bush,28
21,7,538,157,Total,Demarco Davidson,3
21,7,538,157,Total,Joshua Shipp,5
21,7,538,157,Total,Lacy Clay,121
21,7,538,0,House Votes,Cori Bush,0
21,7,538,0,House Votes,Demarco Davidson,0
21,7,538,0,House Votes,Joshua Shipp,0
21,7,538,0,House Votes,Lacy Clay,0
21,7,538,1,Provisional,Cori Bush,0
21,7,538,1,Provisional,Demarco Davidson,1
21,7,538,1,Provisional,Joshua Shipp,0
21,7,538,1,Provisional,Lacy Clay,0
21,7,538,13,Absentee,Cori Bush,1
21,7,538,13,Absentee,Demarco Davidson,0
21,7,538,13,Absentee,Joshua Shipp,0
21,7,538,13,Absentee,Lacy Clay,12
21,7,538,143,Polling,Cori Bush,27
21,7,538,143,Polling,Demarco Davidson,2
21,7,538,143,Polling,Joshua Shipp,5
21,7,538,143,Polling,Lacy Clay,109
21,6,815,286,Total,Cori Bush,62
21,6,815,286,Total,Demarco Davidson,8
21,6,815,286,Total,Joshua Shipp,1
21,6,815,286,Total,Lacy Clay,215
21,6,815,0,House Votes,Cori Bush,0
21,6,815,0,House Votes,Demarco Davidson,0
21,6,815,0,House Votes,Joshua Shipp,0
21,6,815,0,House Votes,Lacy Clay,0
21,6,815,0,Provisional,Cori Bush,0
21,6,815,0,Provisional,Demarco Davidson,0
21,6,815,0,Provisional,Joshua Shipp,0
21,6,815,0,Provisional,Lacy Clay,0
21,6,815,21,Absentee,Cori Bush,2
21,6,815,21,Absentee,Demarco Davidson,0
21,6,815,21,Absentee,Joshua Shipp,0
21,6,815,21,Absentee,Lacy Clay,19
21,6,815,265,Polling,Cori Bush,60
21,6,815,265,Polling,Demarco Davidson,8
21,6,815,265,Polling,Joshua Shipp,1
21,6,815,265,Polling,Lacy Clay,196
21,5,760,211,Total,Cori Bush,40
21,5,760,211,Total,Demarco Davidson,11
21,5,760,211,Total,Joshua Shipp,5
21,5,760,211,Total,Lacy Clay,155
21,5,760,0,House Votes,Cori Bush,0
21,5,760,0,House Votes,Demarco Davidson,0
21,5,760,0,House Votes,Joshua Shipp,0
21,5,760,0,House Votes,Lacy Clay,0
21,5,760,0,Provisional,Cori Bush,0
21,5,760,0,Provisional,Demarco Davidson,0
21,5,760,0,Provisional,Joshua Shipp,0
21,5,760,0,Provisional,Lacy Clay,0
21,5,760,12,Absentee,Cori Bush,2
21,5,760,12,Absentee,Demarco Davidson,0
21,5,760,12,Absentee,Joshua Shipp,0
21,5,760,12,Absentee,Lacy Clay,10
21,5,760,199,Polling,Cori Bush,38
21,5,760,199,Polling,Demarco Davidson,11
21,5,760,199,Polling,Joshua Shipp,5
21,5,760,199,Polling,Lacy Clay,145
21,4,914,273,Total,Cori Bush,60
21,4,914,273,Total,Demarco Davidson,7
21,4,914,273,Total,Joshua Shipp,2
21,4,914,273,Total,Lacy Clay,204
21,4,914,0,House Votes,Cori Bush,0
21,4,914,0,House Votes,Demarco Davidson,0
21,4,914,0,House Votes,Joshua Shipp,0
21,4,914,0,House Votes,Lacy Clay,0
21,4,914,0,Provisional,Cori Bush,0
21,4,914,0,Provisional,Demarco Davidson,0
21,4,914,0,Provisional,Joshua Shipp,0
21,4,914,0,Provisional,Lacy Clay,0
21,4,914,28,Absentee,Cori Bush,4
21,4,914,28,Absentee,Demarco Davidson,0
21,4,914,28,Absentee,Joshua Shipp,0
21,4,914,28,Absentee,Lacy Clay,24
21,4,914,245,Polling,Cori Bush,56
21,4,914,245,Polling,Demarco Davidson,7
21,4,914,245,Polling,Joshua Shipp,2
21,4,914,245,Polling,Lacy Clay,180
21,3,804,201,Total,Cori Bush,33
21,3,804,201,Total,Demarco Davidson,3
21,3,804,201,Total,Joshua Shipp,3
21,3,804,201,Total,Lacy Clay,162
21,3,804,0,House Votes,Cori Bush,0
21,3,804,0,House Votes,Demarco Davidson,0
21,3,804,0,House Votes,Joshua Shipp,0
21,3,804,0,House Votes,Lacy Clay,0
21,3,804,0,Provisional,Cori Bush,0
21,3,804,0,Provisional,Demarco Davidson,0
21,3,804,0,Provisional,Joshua Shipp,0
21,3,804,0,Provisional,Lacy Clay,0
21,3,804,10,Absentee,Cori Bush,0
21,3,804,10,Absentee,Demarco Davidson,0
21,3,804,10,Absentee,Joshua Shipp,0
21,3,804,10,Absentee,Lacy Clay,10
21,3,804,191,Polling,Cori Bush,33
21,3,804,191,Polling,Demarco Davidson,3
21,3,804,191,Polling,Joshua Shipp,3
21,3,804,191,Polling,Lacy Clay,152
21,2,837,278,Total,Cori Bush,48
21,2,837,278,Total,Demarco Davidson,6
21,2,837,278,Total,Joshua Shipp,3
21,2,837,278,Total,Lacy Clay,221
21,2,837,0,House Votes,Cori Bush,0
21,2,837,0,House Votes,Demarco Davidson,0
21,2,837,0,House Votes,Joshua Shipp,0
21,2,837,0,House Votes,Lacy Clay,0
21,2,837,0,Provisional,Cori Bush,0
21,2,837,0,Provisional,Demarco Davidson,0
21,2,837,0,Provisional,Joshua Shipp,0
21,2,837,0,Provisional,Lacy Clay,0
21,2,837,20,Absentee,Cori Bush,3
21,2,837,20,Absentee,Demarco Davidson,1
21,2,837,20,Absentee,Joshua Shipp,0
21,2,837,20,Absentee,Lacy Clay,16
21,2,837,258,Polling,Cori Bush,45
21,2,837,258,Polling,Demarco Davidson,5
21,2,837,258,Polling,Joshua Shipp,3
21,2,837,258,Polling,Lacy Clay,205
21,1,571,137,Total,Cori Bush,28
21,1,571,137,Total,Demarco Davidson,7
21,1,571,137,Total,Joshua Shipp,1
21,1,571,137,Total,Lacy Clay,101
21,1,571,0,House Votes,Cori Bush,0
21,1,571,0,House Votes,Demarco Davidson,0
21,1,571,0,House Votes,Joshua Shipp,0
21,1,571,0,House Votes,Lacy Clay,0
21,1,571,0,Provisional,Cori Bush,0
21,1,571,0,Provisional,Demarco Davidson,0
21,1,571,0,Provisional,Joshua Shipp,0
21,1,571,0,Provisional,Lacy Clay,0
21,1,571,6,Absentee,Cori Bush,0
21,1,571,6,Absentee,Demarco Davidson,0
21,1,571,6,Absentee,Joshua Shipp,0
21,1,571,6,Absentee,Lacy Clay,6
21,1,571,131,Polling,Cori Bush,28
21,1,571,131,Polling,Demarco Davidson,7
21,1,571,131,Polling,Joshua Shipp,1
21,1,571,131,Polling,Lacy Clay,95
20,7,338,78,Total,Cori Bush,23
20,7,338,78,Total,Demarco Davidson,3
20,7,338,78,Total,Joshua Shipp,1
20,7,338,78,Total,Lacy Clay,51
20,7,338,0,House Votes,Cori Bush,0
20,7,338,0,House Votes,Demarco Davidson,0
20,7,338,0,House Votes,Joshua Shipp,0
20,7,338,0,House Votes,Lacy Clay,0
20,7,338,0,Provisional,Cori Bush,0
20,7,338,0,Provisional,Demarco Davidson,0
20,7,338,0,Provisional,Joshua Shipp,0
20,7,338,0,Provisional,Lacy Clay,0
20,7,338,5,Absentee,Cori Bush,2
20,7,338,5,Absentee,Demarco Davidson,0
20,7,338,5,Absentee,Joshua Shipp,0
20,7,338,5,Absentee,Lacy Clay,3
20,7,338,73,Polling,Cori Bush,21
20,7,338,73,Polling,Demarco Davidson,3
20,7,338,73,Polling,Joshua Shipp,1
20,7,338,73,Polling,Lacy Clay,48
20,6,189,37,Total,Cori Bush,13
20,6,189,37,Total,Demarco Davidson,1
20,6,189,37,Total,Joshua Shipp,1
20,6,189,37,Total,Lacy Clay,22
20,6,189,0,House Votes,Cori Bush,0
20,6,189,0,House Votes,Demarco Davidson,0
20,6,189,0,House Votes,Joshua Shipp,0
20,6,189,0,House Votes,Lacy Clay,0
20,6,189,0,Provisional,Cori Bush,0
20,6,189,0,Provisional,Demarco Davidson,0
20,6,189,0,Provisional,Joshua Shipp,0
20,6,189,0,Provisional,Lacy Clay,0
20,6,189,2,Absentee,Cori Bush,0
20,6,189,2,Absentee,Demarco Davidson,0
20,6,189,2,Absentee,Joshua Shipp,0
20,6,189,2,Absentee,Lacy Clay,2
20,6,189,35,Polling,Cori Bush,13
20,6,189,35,Polling,Demarco Davidson,1
20,6,189,35,Polling,Joshua Shipp,1
20,6,189,35,Polling,Lacy Clay,20
20,5,1119,295,Total,Cori Bush,148
20,5,1119,295,Total,Demarco Davidson,12
20,5,1119,295,Total,Joshua Shipp,7
20,5,1119,295,Total,Lacy Clay,128
20,5,1119,0,House Votes,Cori Bush,0
20,5,1119,0,House Votes,Demarco Davidson,0
20,5,1119,0,House Votes,Joshua Shipp,0
20,5,1119,0,House Votes,Lacy Clay,0
20,5,1119,0,Provisional,Cori Bush,0
20,5,1119,0,Provisional,Demarco Davidson,0
20,5,1119,0,Provisional,Joshua Shipp,0
20,5,1119,0,Provisional,Lacy Clay,0
20,5,1119,13,Absentee,Cori Bush,7
20,5,1119,13,Absentee,Demarco Davidson,1
20,5,1119,13,Absentee,Joshua Shipp,0
20,5,1119,13,Absentee,Lacy Clay,5
20,5,1119,282,Polling,Cori Bush,141
20,5,1119,282,Polling,Demarco Davidson,11
20,5,1119,282,Polling,Joshua Shipp,7
20,5,1119,282,Polling,Lacy Clay,123
20,4,620,162,Total,Cori Bush,47
20,4,620,162,Total,Demarco Davidson,6
20,4,620,162,Total,Joshua Shipp,5
20,4,620,162,Total,Lacy Clay,104
20,4,620,0,House Votes,Cori Bush,0
20,4,620,0,House Votes,Demarco Davidson,0
20,4,620,0,House Votes,Joshua Shipp,0
20,4,620,0,House Votes,Lacy Clay,0
20,4,620,0,Provisional,Cori Bush,0
20,4,620,0,Provisional,Demarco Davidson,0
20,4,620,0,Provisional,Joshua Shipp,0
20,4,620,0,Provisional,Lacy Clay,0
20,4,620,5,Absentee,Cori Bush,3
20,4,620,5,Absentee,Demarco Davidson,0
20,4,620,5,Absentee,Joshua Shipp,0
20,4,620,5,Absentee,Lacy Clay,2
20,4,620,157,Polling,Cori Bush,44
20,4,620,157,Polling,Demarco Davidson,6
20,4,620,157,Polling,Joshua Shipp,5
20,4,620,157,Polling,Lacy Clay,102
20,3,1179,293,Total,Cori Bush,116
20,3,1179,293,Total,Demarco Davidson,14
20,3,1179,293,Total,Joshua Shipp,6
20,3,1179,293,Total,Lacy Clay,157
20,3,1179,0,House Votes,Cori Bush,0
20,3,1179,0,House Votes,Demarco Davidson,0
20,3,1179,0,House Votes,Joshua Shipp,0
20,3,1179,0,House Votes,Lacy Clay,0
20,3,1179,0,Provisional,Cori Bush,0
20,3,1179,0,Provisional,Demarco Davidson,0
20,3,1179,0,Provisional,Joshua Shipp,0
20,3,1179,0,Provisional,Lacy Clay,0
20,3,1179,15,Absentee,Cori Bush,7
20,3,1179,15,Absentee,Demarco Davidson,0
20,3,1179,15,Absentee,Joshua Shipp,0
20,3,1179,15,Absentee,Lacy Clay,8
20,3,1179,278,Polling,Cori Bush,109
20,3,1179,278,Polling,Demarco Davidson,14
20,3,1179,278,Polling,Joshua Shipp,6
20,3,1179,278,Polling,Lacy Clay,149
20,2,529,127,Total,Cori Bush,38
20,2,529,127,Total,Demarco Davidson,4
20,2,529,127,Total,Joshua Shipp,7
20,2,529,127,Total,Lacy Clay,78
20,2,529,0,House Votes,Cori Bush,0
20,2,529,0,House Votes,Demarco Davidson,0
20,2,529,0,House Votes,Joshua Shipp,0
20,2,529,0,House Votes,Lacy Clay,0
20,2,529,1,Provisional,Cori Bush,0
20,2,529,1,Provisional,Demarco Davidson,0
20,2,529,1,Provisional,Joshua Shipp,0
20,2,529,1,Provisional,Lacy Clay,1
20,2,529,4,Absentee,Cori Bush,1
20,2,529,4,Absentee,Demarco Davidson,1
20,2,529,4,Absentee,Joshua Shipp,0
20,2,529,4,Absentee,Lacy Clay,2
20,2,529,122,Polling,Cori Bush,37
20,2,529,122,Polling,Demarco Davidson,3
20,2,529,122,Polling,Joshua Shipp,7
20,2,529,122,Polling,Lacy Clay,75
20,1,935,198,Total,Cori Bush,55
20,1,935,198,Total,Demarco Davidson,8
20,1,935,198,Total,Joshua Shipp,8
20,1,935,198,Total,Lacy Clay,127
20,1,935,0,House Votes,Cori Bush,0
20,1,935,0,House Votes,Demarco Davidson,0
20,1,935,0,House Votes,Joshua Shipp,0
20,1,935,0,House Votes,Lacy Clay,0
20,1,935,1,Provisional,Cori Bush,0
20,1,935,1,Provisional,Demarco Davidson,0
20,1,935,1,Provisional,Joshua Shipp,0
20,1,935,1,Provisional,Lacy Clay,1
20,1,935,5,Absentee,Cori Bush,1
20,1,935,5,Absentee,Demarco Davidson,0
20,1,935,5,Absentee,Joshua Shipp,0
20,1,935,5,Absentee,Lacy Clay,4
20,1,935,192,Polling,Cori Bush,54
20,1,935,192,Polling,Demarco Davidson,8
20,1,935,192,Polling,Joshua Shipp,8
20,1,935,192,Polling,Lacy Clay,122
19,9,511,117,Total,Cori Bush,19
19,9,511,117,Total,Demarco Davidson,0
19,9,511,117,Total,Joshua Shipp,3
19,9,511,117,Total,Lacy Clay,95
19,9,511,0,House Votes,Cori Bush,0
19,9,511,0,House Votes,Demarco Davidson,0
19,9,511,0,House Votes,Joshua Shipp,0
19,9,511,0,House Votes,Lacy Clay,0
19,9,511,0,Provisional,Cori Bush,0
19,9,511,0,Provisional,Demarco Davidson,0
19,9,511,0,Provisional,Joshua Shipp,0
19,9,511,0,Provisional,Lacy Clay,0
19,9,511,19,Absentee,Cori Bush,3
19,9,511,19,Absentee,Demarco Davidson,0
19,9,511,19,Absentee,Joshua Shipp,1
19,9,511,19,Absentee,Lacy Clay,15
19,9,511,98,Polling,Cori Bush,16
19,9,511,98,Polling,Demarco Davidson,0
19,9,511,98,Polling,Joshua Shipp,2
19,9,511,98,Polling,Lacy Clay,80
19,8,594,176,Total,Cori Bush,34
19,8,594,176,Total,Demarco Davidson,6
19,8,594,176,Total,Joshua Shipp,4
19,8,594,176,Total,Lacy Clay,132
19,8,594,0,House Votes,Cori Bush,0
19,8,594,0,House Votes,Demarco Davidson,0
19,8,594,0,House Votes,Joshua Shipp,0
19,8,594,0,House Votes,Lacy Clay,0
19,8,594,0,Provisional,Cori Bush,0
19,8,594,0,Provisional,Demarco Davidson,0
19,8,594,0,Provisional,Joshua Shipp,0
19,8,594,0,Provisional,Lacy Clay,0
19,8,594,16,Absentee,Cori Bush,3
19,8,594,16,Absentee,Demarco Davidson,0
19,8,594,16,Absentee,Joshua Shipp,2
19,8,594,16,Absentee,Lacy Clay,11
19,8,594,160,Polling,Cori Bush,31
19,8,594,160,Polling,Demarco Davidson,6
19,8,594,160,Polling,Joshua Shipp,2
19,8,594,160,Polling,Lacy Clay,121
19,7,199,49,Total,Cori Bush,21
19,7,199,49,Total,Demarco Davidson,1
19,7,199,49,Total,Joshua Shipp,3
19,7,199,49,Total,Lacy Clay,24
19,7,199,0,House Votes,Cori Bush,0
19,7,199,0,House Votes,Demarco Davidson,0
19,7,199,0,House Votes,Joshua Shipp,0
19,7,199,0,House Votes,Lacy Clay,0
19,7,199,0,Provisional,Cori Bush,0
19,7,199,0,Provisional,Demarco Davidson,0
19,7,199,0,Provisional,Joshua Shipp,0
19,7,199,0,Provisional,Lacy Clay,0
19,7,199,1,Absentee,Cori Bush,0
19,7,199,1,Absentee,Demarco Davidson,0
19,7,199,1,Absentee,Joshua Shipp,0
19,7,199,1,Absentee,Lacy Clay,1
19,7,199,48,Polling,Cori Bush,21
19,7,199,48,Polling,Demarco Davidson,1
19,7,199,48,Polling,Joshua Shipp,3
19,7,199,48,Polling,Lacy Clay,23
19,6,823,272,Total,Cori Bush,67
19,6,823,272,Total,Demarco Davidson,11
19,6,823,272,Total,Joshua Shipp,3
19,6,823,272,Total,Lacy Clay,191
19,6,823,0,House Votes,Cori Bush,0
19,6,823,0,House Votes,Demarco Davidson,0
19,6,823,0,House Votes,Joshua Shipp,0
19,6,823,0,House Votes,Lacy Clay,0
19,6,823,0,Provisional,Cori Bush,0
19,6,823,0,Provisional,Demarco Davidson,0
19,6,823,0,Provisional,Joshua Shipp,0
19,6,823,0,Provisional,Lacy Clay,0
19,6,823,22,Absentee,Cori Bush,3
19,6,823,22,Absentee,Demarco Davidson,0
19,6,823,22,Absentee,Joshua Shipp,0
19,6,823,22,Absentee,Lacy Clay,19
19,6,823,250,Polling,Cori Bush,64
19,6,823,250,Polling,Demarco Davidson,11
19,6,823,250,Polling,Joshua Shipp,3
19,6,823,250,Polling,Lacy Clay,172
19,5,984,106,Total,Cori Bush,29
19,5,984,106,Total,Demarco Davidson,3
19,5,984,106,Total,Joshua Shipp,0
19,5,984,106,Total,Lacy Clay,74
19,5,984,0,House Votes,Cori Bush,0
19,5,984,0,House Votes,Demarco Davidson,0
19,5,984,0,House Votes,Joshua Shipp,0
19,5,984,0,House Votes,Lacy Clay,0
19,5,984,0,Provisional,Cori Bush,0
19,5,984,0,Provisional,Demarco Davidson,0
19,5,984,0,Provisional,Joshua Shipp,0
19,5,984,0,Provisional,Lacy Clay,0
19,5,984,20,Absentee,Cori Bush,2
19,5,984,20,Absentee,Demarco Davidson,1
19,5,984,20,Absentee,Joshua Shipp,0
19,5,984,20,Absentee,Lacy Clay,17
19,5,984,86,Polling,Cori Bush,27
19,5,984,86,Polling,Demarco Davidson,2
19,5,984,86,Polling,Joshua Shipp,0
19,5,984,86,Polling,Lacy Clay,57
19,4,665,258,Total,Cori Bush,93
19,4,665,258,Total,Demarco Davidson,6
19,4,665,258,Total,Joshua Shipp,5
19,4,665,258,Total,Lacy Clay,154
19,4,665,0,House Votes,Cori Bush,0
19,4,665,0,House Votes,Demarco Davidson,0
19,4,665,0,House Votes,Joshua Shipp,0
19,4,665,0,House Votes,Lacy Clay,0
19,4,665,1,Provisional,Cori Bush,0
19,4,665,1,Provisional,Demarco Davidson,0
19,4,665,1,Provisional,Joshua Shipp,0
19,4,665,1,Provisional,Lacy Clay,1
19,4,665,9,Absentee,Cori Bush,2
19,4,665,9,Absentee,Demarco Davidson,0
19,4,665,9,Absentee,Joshua Shipp,1
19,4,665,9,Absentee,Lacy Clay,6
19,4,665,248,Polling,Cori Bush,91
19,4,665,248,Polling,Demarco Davidson,6
19,4,665,248,Polling,Joshua Shipp,4
19,4,665,248,Polling,Lacy Clay,147
19,3,314,82,Total,Cori Bush,10
19,3,314,82,Total,Demarco Davidson,3
19,3,314,82,Total,Joshua Shipp,6
19,3,314,82,Total,Lacy Clay,63
19,3,314,0,House Votes,Cori Bush,0
19,3,314,0,House Votes,Demarco Davidson,0
19,3,314,0,House Votes,Joshua Shipp,0
19,3,314,0,House Votes,Lacy Clay,0
19,3,314,2,Provisional,Cori Bush,0
19,3,314,2,Provisional,Demarco Davidson,0
19,3,314,2,Provisional,Joshua Shipp,0
19,3,314,2,Provisional,Lacy Clay,2
19,3,314,6,Absentee,Cori Bush,1
19,3,314,6,Absentee,Demarco Davidson,0
19,3,314,6,Absentee,Joshua Shipp,0
19,3,314,6,Absentee,Lacy Clay,5
19,3,314,74,Polling,Cori Bush,9
19,3,314,74,Polling,Demarco Davidson,3
19,3,314,74,Polling,Joshua Shipp,6
19,3,314,74,Polling,Lacy Clay,56
19,2,64,15,Total,Cori Bush,10
19,2,64,15,Total,Demarco Davidson,0
19,2,64,15,Total,Joshua Shipp,0
19,2,64,15,Total,Lacy Clay,5
19,2,64,0,House Votes,Cori Bush,0
19,2,64,0,House Votes,Demarco Davidson,0
19,2,64,0,House Votes,Joshua Shipp,0
19,2,64,0,House Votes,Lacy Clay,0
19,2,64,0,Provisional,Cori Bush,0
19,2,64,0,Provisional,Demarco Davidson,0
19,2,64,0,Provisional,Joshua Shipp,0
19,2,64,0,Provisional,Lacy Clay,0
19,2,64,3,Absentee,Cori Bush,2
19,2,64,3,Absentee,Demarco Davidson,0
19,2,64,3,Absentee,Joshua Shipp,0
19,2,64,3,Absentee,Lacy Clay,1
19,2,64,12,Polling,Cori Bush,8
19,2,64,12,Polling,Demarco Davidson,0
19,2,64,12,Polling,Joshua Shipp,0
19,2,64,12,Polling,Lacy Clay,4
19,1,1115,396,Total,Cori Bush,156
19,1,1115,396,Total,Demarco Davidson,14
19,1,1115,396,Total,Joshua Shipp,3
19,1,1115,396,Total,Lacy Clay,223
19,1,1115,0,House Votes,Cori Bush,0
19,1,1115,0,House Votes,Demarco Davidson,0
19,1,1115,0,House Votes,Joshua Shipp,0
19,1,1115,0,House Votes,Lacy Clay,0
19,1,1115,0,Provisional,Cori Bush,0
19,1,1115,0,Provisional,Demarco Davidson,0
19,1,1115,0,Provisional,Joshua Shipp,0
19,1,1115,0,Provisional,Lacy Clay,0
19,1,1115,22,Absentee,Cori Bush,10
19,1,1115,22,Absentee,Demarco Davidson,1
19,1,1115,22,Absentee,Joshua Shipp,0
19,1,1115,22,Absentee,Lacy Clay,11
19,1,1115,374,Polling,Cori Bush,146
19,1,1115,374,Polling,Demarco Davidson,13
19,1,1115,374,Polling,Joshua Shipp,3
19,1,1115,374,Polling,Lacy Clay,212
18,6,961,262,Total,Cori Bush,54
18,6,961,262,Total,Demarco Davidson,6
18,6,961,262,Total,Joshua Shipp,0
18,6,961,262,Total,Lacy Clay,202
18,6,961,1,House Votes,Cori Bush,0
18,6,961,1,House Votes,Demarco Davidson,0
18,6,961,1,House Votes,Joshua Shipp,0
18,6,961,1,House Votes,Lacy Clay,1
18,6,961,0,Provisional,Cori Bush,0
18,6,961,0,Provisional,Demarco Davidson,0
18,6,961,0,Provisional,Joshua Shipp,0
18,6,961,0,Provisional,Lacy Clay,0
18,6,961,23,Absentee,Cori Bush,1
18,6,961,23,Absentee,Demarco Davidson,1
18,6,961,23,Absentee,Joshua Shipp,0
18,6,961,23,Absentee,Lacy Clay,21
18,6,961,238,Polling,Cori Bush,53
18,6,961,238,Polling,Demarco Davidson,5
18,6,961,238,Polling,Joshua Shipp,0
18,6,961,238,Polling,Lacy Clay,180
18,5,909,333,Total,Cori Bush,74
18,5,909,333,Total,Demarco Davidson,6
18,5,909,333,Total,Joshua Shipp,3
18,5,909,333,Total,Lacy Clay,250
18,5,909,0,House Votes,Cori Bush,0
18,5,909,0,House Votes,Demarco Davidson,0
18,5,909,0,House Votes,Joshua Shipp,0
18,5,909,0,House Votes,Lacy Clay,0
18,5,909,0,Provisional,Cori Bush,0
18,5,909,0,Provisional,Demarco Davidson,0
18,5,909,0,Provisional,Joshua Shipp,0
18,5,909,0,Provisional,Lacy Clay,0
18,5,909,53,Absentee,Cori Bush,9
18,5,909,53,Absentee,Demarco Davidson,2
18,5,909,53,Absentee,Joshua Shipp,2
18,5,909,53,Absentee,Lacy Clay,40
18,5,909,280,Polling,Cori Bush,65
18,5,909,280,Polling,Demarco Davidson,4
18,5,909,280,Polling,Joshua Shipp,1
18,5,909,280,Polling,Lacy Clay,210
18,4,918,280,Total,Cori Bush,58
18,4,918,280,Total,Demarco Davidson,7
18,4,918,280,Total,Joshua Shipp,1
18,4,918,280,Total,Lacy Clay,214
18,4,918,0,House Votes,Cori Bush,0
18,4,918,0,House Votes,Demarco Davidson,0
18,4,918,0,House Votes,Joshua Shipp,0
18,4,918,0,House Votes,Lacy Clay,0
18,4,918,0,Provisional,Cori Bush,0
18,4,918,0,Provisional,Demarco Davidson,0
18,4,918,0,Provisional,Joshua Shipp,0
18,4,918,0,Provisional,Lacy Clay,0
18,4,918,14,Absentee,Cori Bush,0
18,4,918,14,Absentee,Demarco Davidson,1
18,4,918,14,Absentee,Joshua Shipp,0
18,4,918,14,Absentee,Lacy Clay,13
18,4,918,266,Polling,Cori Bush,58
18,4,918,266,Polling,Demarco Davidson,6
18,4,918,266,Polling,Joshua Shipp,1
18,4,918,266,Polling,Lacy Clay,201
18,3,234,56,Total,Cori Bush,7
18,3,234,56,Total,Demarco Davidson,3
18,3,234,56,Total,Joshua Shipp,0
18,3,234,56,Total,Lacy Clay,46
18,3,234,0,House Votes,Cori Bush,0
18,3,234,0,House Votes,Demarco Davidson,0
18,3,234,0,House Votes,Joshua Shipp,0
18,3,234,0,House Votes,Lacy Clay,0
18,3,234,0,Provisional,Cori Bush,0
18,3,234,0,Provisional,Demarco Davidson,0
18,3,234,0,Provisional,Joshua Shipp,0
18,3,234,0,Provisional,Lacy Clay,0
18,3,234,2,Absentee,Cori Bush,1
18,3,234,2,Absentee,Demarco Davidson,0
18,3,234,2,Absentee,Joshua Shipp,0
18,3,234,2,Absentee,Lacy Clay,1
18,3,234,54,Polling,Cori Bush,6
18,3,234,54,Polling,Demarco Davidson,3
18,3,234,54,Polling,Joshua Shipp,0
18,3,234,54,Polling,Lacy Clay,45
18,2,1046,313,Total,Cori Bush,91
18,2,1046,313,Total,Demarco Davidson,3
18,2,1046,313,Total,Joshua Shipp,7
18,2,1046,313,Total,Lacy Clay,212
18,2,1046,1,House Votes,Cori Bush,1
18,2,1046,1,House Votes,Demarco Davidson,0
18,2,1046,1,House Votes,Joshua Shipp,0
18,2,1046,1,House Votes,Lacy Clay,0
18,2,1046,0,Provisional,Cori Bush,0
18,2,1046,0,Provisional,Demarco Davidson,0
18,2,1046,0,Provisional,Joshua Shipp,0
18,2,1046,0,Provisional,Lacy Clay,0
18,2,1046,15,Absentee,Cori Bush,0
18,2,1046,15,Absentee,Demarco Davidson,0
18,2,1046,15,Absentee,Joshua Shipp,1
18,2,1046,15,Absentee,Lacy Clay,14
18,2,1046,297,Polling,Cori Bush,90
18,2,1046,297,Polling,Demarco Davidson,3
18,2,1046,297,Polling,Joshua Shipp,6
18,2,1046,297,Polling,Lacy Clay,198
18,1,1362,479,Total,Cori Bush,180
18,1,1362,479,Total,Demarco Davidson,10
18,1,1362,479,Total,Joshua Shipp,10
18,1,1362,479,Total,Lacy Clay,279
18,1,1362,0,House Votes,Cori Bush,0
18,1,1362,0,House Votes,Demarco Davidson,0
18,1,1362,0,House Votes,Joshua Shipp,0
18,1,1362,0,House Votes,Lacy Clay,0
18,1,1362,1,Provisional,Cori Bush,0
18,1,1362,1,Provisional,Demarco Davidson,0
18,1,1362,1,Provisional,Joshua Shipp,0
18,1,1362,1,Provisional,Lacy Clay,1
18,1,1362,49,Absentee,Cori Bush,8
18,1,1362,49,Absentee,Demarco Davidson,0
18,1,1362,49,Absentee,Joshua Shipp,1
18,1,1362,49,Absentee,Lacy Clay,40
18,1,1362,429,Polling,Cori Bush,172
18,1,1362,429,Polling,Demarco Davidson,10
18,1,1362,429,Polling,Joshua Shipp,9
18,1,1362,429,Polling,Lacy Clay,238
17,8,1084,324,Total,Cori Bush,163
17,8,1084,324,Total,Demarco Davidson,5
17,8,1084,324,Total,Joshua Shipp,4
17,8,1084,324,Total,Lacy Clay,152
